draw_index,draw_date,engine,real_n1,real_n2,real_n3,real_n4,real_n5,real_n6,real_r,pred_n1,pred_n2,pred_n3,pred_n4,pred_n5,pred_n6,pred_r,matches
10,1986-01-02,statistician,16,18,38,43,44,47,0,1,8,21,24,25,31,8,0
10,1986-01-02,game_theory,16,18,38,43,44,47,0,10,18,28,37,43,49,0,2
10,1986-01-02,markov,16,18,38,43,44,47,0,2,14,20,33,46,49,4,0
10,1986-01-02,decades,16,18,38,43,44,47,0,5,9,20,22,34,36,4,0
10,1986-01-02,clusters,16,18,38,43,44,47,0,8,10,32,42,43,45,6,1
10,1986-01-02,temporal_patterns,16,18,38,43,44,47,0,4,15,30,31,46,49,9,0
11,1986-01-09,statistician,2,6,8,10,30,48,0,8,13,29,31,42,45,6,1
11,1986-01-09,game_theory,2,6,8,10,30,48,0,8,13,24,31,36,43,6,1
11,1986-01-09,markov,2,6,8,10,30,48,0,4,10,14,27,33,46,5,1
11,1986-01-09,decades,2,6,8,10,30,48,0,3,14,16,28,30,41,9,1
11,1986-01-09,clusters,2,6,8,10,30,48,0,7,17,20,25,46,47,9,0
11,1986-01-09,temporal_patterns,2,6,8,10,30,48,0,7,10,15,16,18,36,6,1
12,1986-01-16,statistician,2,14,32,36,41,48,0,1,24,26,31,32,45,7,1
12,1986-01-16,game_theory,2,14,32,36,41,48,0,5,9,14,18,37,46,3,1
12,1986-01-16,markov,2,14,32,36,41,48,0,5,14,34,41,43,44,0,2
12,1986-01-16,decades,2,14,32,36,41,48,0,2,14,17,22,34,40,1,2
12,1986-01-16,clusters,2,14,32,36,41,48,0,15,20,23,24,35,39,7,0
12,1986-01-16,temporal_patterns,2,14,32,36,41,48,0,7,14,17,19,37,38,9,1
13,1986-01-23,statistician,9,17,35,37,38,46,0,1,3,11,25,33,42,3,0
13,1986-01-23,game_theory,9,17,35,37,38,46,0,1,4,18,31,32,34,5,0
13,1986-01-23,markov,9,17,35,37,38,46,0,4,5,15,27,34,43,2,0
13,1986-01-23,decades,9,17,35,37,38,46,0,2,14,16,27,30,41,9,0
13,1986-01-23,clusters,9,17,35,37,38,46,0,1,5,24,32,39,40,0,0
13,1986-01-23,temporal_patterns,9,17,35,37,38,46,0,2,4,12,38,43,44,1,1
14,1986-01-30,statistician,20,25,35,42,45,46,0,13,21,24,25,33,34,7,1
14,1986-01-30,game_theory,20,25,35,42,45,46,0,3,7,10,37,39,48,6,0
14,1986-01-30,markov,20,25,35,42,45,46,0,6,14,23,27,34,48,2,0
14,1986-01-30,decades,20,25,35,42,45,46,0,6,14,17,25,34,38,9,1
14,1986-01-30,clusters,20,25,35,42,45,46,0,5,12,20,42,46,47,7,3
14,1986-01-30,temporal_patterns,20,25,35,42,45,46,0,3,4,11,13,14,30,7,0
